"rpa_region","nonconifer","conifer"
"nc",35930678.9167117,7702028.81632861
"ne",32489033.9832987,12151722.1328512
"pc",6608428.06213383,65399435.3394139
"rm",1184432.59607595,15414607.2128415
"sc",48710004.6156416,91780102.5244445
"se",33758926.2403475,88446614.8909661
